ReceptionTime,ts,tsys0,tsys1,tsys2,tsys3,tsys4,tsys5,tsys6,tsys7,tsys8,tsys9,tsys10,tsys11,tsys12,tsys13,tsys14,tsys15
1518044807.67093,1518044807.35014,20.448912,20.469525,20.511227,20.435036,20.502356,20.557838,20.491276,20.337191,20.470326,20.504757,20.346354,20.4126,20.53549,20.583348,20.451402,20.469038
1518044868.0454,1518044867.72517,20.449384,20.470943,20.507909,20.438209,20.505811,20.56156,20.494356,20.343488,20.473912,20.505771,20.345746,20.414556,20.53846,20.586724,20.453569,20.470254
1518044928.41743,1518044928.09838,20.450397,20.471618,20.516237,20.441111,20.505878,20.563929,20.49536,20.340644,20.475806,20.510839,20.349667,20.417457,20.541159,20.587872,20.458379,20.471267
1518044988.79115,1518044988.47153,20.454853,20.472563,20.515966,20.443542,20.506556,20.566162,20.498173,20.343826,20.473709,20.510028,20.352303,20.420222,20.545951,20.590033,20.460479,20.477279
1518045049.16808,1518045048.84498,20.454988,20.478572,20.520096,20.446309,20.512719,20.567786,20.502726,20.343623,20.478309,20.514218,20.356088,20.421774,20.546963,20.59611,20.462444,20.475793
1518045109.55439,1518045109.22962,20.460794,20.480057,20.522466,20.447997,20.51597,20.56738,20.502391,20.347212,20.481015,20.515434,20.356561,20.420222,20.548582,20.596245,20.464882,20.481602
1518045169.9433,1518045169.61601,20.458836,20.482353,20.519758,20.453667,20.515361,20.569816,20.502993,20.34816,20.481286,20.514218,20.360955,20.424539,20.548987,20.597595,20.469827,20.480386
1518045230.33176,1518045230.00398,20.46282,20.483433,20.522466,20.453195,20.518138,20.572252,20.507145,20.353238,20.482842,20.51807,20.36305,20.429396,20.555736,20.602457,20.470369,20.484439
1518045290.72063,1518045290.39437,20.463225,20.487551,20.524497,20.457245,20.520508,20.577937,20.50989,20.352222,20.486833,20.521584,20.36163,20.428316,20.552969,20.60455,20.470369,20.48579
1518045351.1045,1518045350.78114,20.471191,20.494572,20.526731,20.461565,20.523556,20.576042,20.514577,20.359331,20.488727,20.522395,20.365416,20.432296,20.556141,20.607588,20.472198,20.488829
1518045411.49557,1518045411.16532,20.471326,20.493762,20.527408,20.46899,20.528026,20.583756,20.517322,20.359737,20.49265,20.525436,20.369539,20.433915,20.561607,20.607453,20.478227,20.491599
1518045471.85826,1518045471.53248,20.475107,20.49572,20.533569,20.468113,20.530193,20.586328,20.515983,20.363055,20.49468,20.530436,20.373729,20.437962,20.564576,20.613665,20.482698,20.494841
1518045532.22958,1518045531.90618,20.479563,20.504496,20.537969,20.471353,20.531413,20.586328,20.520134,20.366169,20.498806,20.534356,20.375216,20.444571,20.567815,20.615556,20.482088,20.502744
1518045592.6045,1518045592.28367,20.482736,20.509356,20.541693,20.47196,20.534528,20.592959,20.5279,20.368742,20.504759,20.534896,20.376162,20.445516,20.572674,20.618594,20.488794,20.503959
1518045652.97907,1518045652.65809,20.488812,20.513002,20.545552,20.480667,20.538998,20.595869,20.530712,20.373684,20.507938,20.539019,20.382854,20.448146,20.574968,20.6217,20.489675,20.505918
1518045713.31715,1518045712.98276,20.496508,20.520292,20.545552,20.48249,20.542655,20.597628,20.534328,20.377002,20.509088,20.543208,20.384679,20.453339,20.581041,20.625819,20.495162,20.514429
